Title,Land Size,Location,Total Price,Monthly Payment
Land For Sale In Padukka,10 Perches,,"1,950,000","27,706"
House For Rent In Piliyandala,"Beds-1, Baths-1 Size-1000sqft",,,"18,000"
House For Sale In Ragama,"Beds-4, Baths-1 Size-sqft",,"10,000,000","142,083"
Land For Sale In Pelawatta,24.34 Perches,,"97,360,000","1,383,320"
House For Sale In Kottawa,"Beds-4, Baths-3 Size-2314.3sqft",,"65,000,000","923,539"
House For Sale In Kottawa,"Beds-3, Baths-2 Size-1633.5sqft",,"18,000,000","255,749"
House For Sale In Malabe,"Beds-4, Baths-2 Size-1800sqft",,"16,000,000","227,333"
House For Rent In Mount Lavinia,"Beds-3, Baths-2 Size-1800sqft",,,"110,000"
Land For Sale In Homagama,7.9 Perches,,"5,332,500","75,766"
Land For Sale In Ganemulla,18 Perches,,"4,500,000","63,937"
Land For Sale In Kaduwela,7.4 Perches,,"4,070,000","57,828"
House For Rent In Negombo,"Beds-6, Baths-6 Size-5300sqft",,,"190,000"
House For Sale In Talawatugoda,"Beds-3, Baths-3 Size-2400sqft",,"55,000,000","781,456"
House For Sale In Gampaha,"Beds-2, Baths-1 Size-sqft",,"3,000,000","42,625"
House For Sale In Talawatugoda,"Beds-3, Baths-3 Size-2400sqft",,"55,000,000","781,456"
House For Sale In Divulapitiya,"Beds-3, Baths-2 Size-sqft",,"21,000,000","298,374"
House For Sale In Homagama,"Beds-3, Baths-2 Size-2300sqft",,"29,000,000","412,041"
House For Sale In Homagama,"Beds-3, Baths-2 Size-2940sqft",,"29,000,000","412,041"
House For Sale In Kalagedihena,"Beds-4, Baths-3 Size-3400sqft",,"58,000,000","824,081"
House For Sale In Piliyandala,"Beds-5, Baths-2 Size-sqft",,"38,000,000","539,915"
House For Sale In Kiribathgoda,"Beds-2, Baths-2 Size-2500sqft",,"18,000,000","255,749"
Apartment For Sale In Rajagiriya,"Beds-2, Baths-2 Size-887sqft",,"35,000,000","497,290"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2488sqft",,"18,000,000","255,749"
House For Sale In Pannipitiya,"Beds-4, Baths-3 Size-2500sqft",,"32,000,000","454,665"
House For Sale In Pannipitiya,"Beds-5, Baths-5 Size-3267sqft",,"46,000,000","653,582"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Gampaha,10.5 Perches,,"6,825,000","96,972"
Land For Sale In Athurugiriya,6.2 Perches,,"4,340,000","61,664"
Land For Sale In Homagama,6.3 Perches,,"4,725,000","67,134"
Land For Sale In Piliyandala,24 Perches,,"9,360,000","132,990"
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-2488sqft",,"18,000,000","255,749"
Land For Sale In Ja-Ela,40 Perches,,"34,000,000","483,082"
Land For Sale In Nittambuwa,10 Perches,,"2,700,000","38,362"
Land For Sale In Piliyandala,6 Perches,,"3,450,000","49,019"
Land For Sale In Alutgama,12.5 Perches,,"1,250,000","17,760"
Land For Sale In Dodangoda,10 Perches,,"5,500,000","78,146"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
Land For Sale In Horana,10 Perches,,"1,800,000","25,575"
Land For Sale In Buttala,3 Acres,,"3,000,000","42,625"
Land For Sale In Padeniya,200 Perches,,"4,500,000","63,937"
Land For Sale In Rambukkana,25.8 Perches,,"3,741,000","53,153"
Land For Sale In Kadawatha,13.2 Perches,,"5,280,000","75,020"
Land With House For Sale In Battaramulla,10 Perches,,"43,000,000","610,957"
House For Sale In Gampaha,"Beds-3, Baths-1 Size-1200sqft",,,
House For Sale In Kadawatha,"Beds-2, Baths-1 Size-1000sqft",,"6,000,000","85,250"
Land For Sale In Mattegoda,7.5 Perches,,"5,250,000","74,594"
Land For Sale In Wattala,680 Perches,,"204,000,000","2,898,492"
Land For Sale In Bope,13.7 Perches,,"3,014,000","42,824"
Land For Sale In Minuwangoda,12.8 Perches,,"8,832,000","125,488"
Land For Sale In Dambulla,48 Perches,,"60,000,000","852,498"
House For Sale In Kalugamuwa,"Beds-3, Baths-1 Size-900sqft",,"4,500,000","63,937"
Annex For Rent In Peradeniya,"Beds-1, Baths-1",,,"18,000"
House For Sale In Mount Lavinia,"Beds-4, Baths-4 Size-2178sqft",,"39,000,000","554,124"
Land For Sale In Agalawatta,10 Perches,,"3,000,000","42,625"
House For Rent In Talawatugoda,"Beds-4, Baths-2 Size-2500sqft",,,"155,000"
Land For Sale In Waga,26 Perches,,"2,800,000","39,783"
