Title,Land Size,Location,Total Price,Monthly Payment,Image URL
Land For Sale In Ella,"Land Size :
30
                                                Perches","Location :

Badulla .
                                            Ella
                                                                                            
                                                     |  Land","20,400,000","289,849",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/782b7a4b7134fb7d7b7542f8d4680ffe-958302.jpeg
Land For Sale In Kirillawala,"Land Size :
16
                                                Perches","Location :

Gampaha .
                                            Kirillawala
                                                                                            
                                                     |  Land","6,720,000","95,480",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/6d3ca21b94a96e25ee712784471334e0-645112.jpeg
House For Sale In Colombo 10,"Features :
Beds-3 ,
                                                Baths-2 ,
                                                    Size-818 sqft","Location :

Colombo .
                                            Colombo 10
                                                                                            
                                                     |  House","25,500,000",,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/dd93e286ea8f2f79c0a452dc0c16162b-187245.jpeg
Land For Sale In Elpitiya,"Land Size :
20.5
                                                Perches","Location :

Galle .
                                            Elpitiya
                                                                                            
                                                     |  Land","2,050,000","29,127",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/3032f82ccbcacd62b16f7e6edfd09f36-997310.jpeg
House For Rent In Homagama,"Features :
Beds-3 ,
                                                Baths-2 ,
                                                    Size-900 sqft","Location :

Colombo .
                                            Homagama
                                                                                            
                                                     |  House",,"35,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/53ce0447c71dfbfe114ab2ffc8450813-753094.jpeg
Factory For Sale In Wellawa,"Area :
3800 sqft","Location :

Kurunegala .
                                            Wellawa
                                                                                            
                                                     |  Commercial Buildings","18,000,000","269,958",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/6817bc26ad3720a42ceaf5ee3fefd7d31246237_1.jpeg
Land With House For Sale In Makulewa,"Land Size :
7
                                                Acres","Location :

Kurunegala .
                                            Makulewa
                                                                                            
                                                     |  Land",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/66b2cc25455c7533721237ab8296d4c01242256_1.jpeg
Land For Rent In Minuwangoda,"Land Size :
18
                                                Perches","Location :

Gampaha .
                                            Minuwangoda
                                                                                            
                                                     |  Land",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/93b3490df3693366daacc501c93dc1111312214_1.jpeg
Shop For Rent In Colombo 05,"Area :
 sqft","Location :

Colombo .
                                            Colombo 05
                                                                                            
                                                     |  Commercial Buildings",,"35,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e38248adcc73527872d473c4c86e44cd-791364.jpeg
Land For Sale In Bandaragama,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Bandaragama
                                                                                            
                                                     |  Land","4,000,000","56,833",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/51fa303e55ef4e418659bc25b81680fb-444500.jpeg
Land For Sale In Pokunuwita,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Pokunuwita
                                                                                            
                                                     |  Land","3,250,000","46,177",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a31b61e6c9855c016f92b10153a5eebe-991722.jpeg
Land For Sale In Yatadolawatta,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Yatadolawatta
                                                                                            
                                                     |  Land","5,750,000","81,698",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/0da59e6ca4affaeb2e10316d5dde25f8-807332.jpeg
Land For Sale In Panadura,"Land Size :
6
                                                Perches","Location :

Kalutara .
                                            Panadura
                                                                                            
                                                     |  Land","4,050,000","57,544",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a6013bbbc6e2c81de901c74664191a85-980312.jpeg
House For Sale In Kottawa,"Features :
Beds-4 ,
                                                Baths-3 ,
                                                    Size-2650 sqft","Location :

Colombo .
                                            Kottawa
                                                                                            
                                                     |  House","27,500,000","390,728",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/83542820bc3a2e0bd4fb8afca79e65b7-976293.jpeg
Land For Sale In Panadura,"Land Size :
44
                                                Acres","Location :

Kalutara .
                                            Panadura
                                                                                            
                                                     |  Land","15,400,000","218,808",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/9a1df3ab4cedb8b657a6fb3fa34826db1312195_1.jpeg
Land For Sale In Panadura,"Land Size :
15
                                                Perches","Location :

Kalutara .
                                            Panadura
                                                                                            
                                                     |  Land","4,500,000","63,937",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/cc0a05de7a005e55839adf964343d7e7-820058.jpeg
Land For Sale In Hadapangoda,"Land Size :
16.5
                                                Perches","Location :

Colombo .
                                            Handapangoda
                                                                                            
                                                     |  Land","2,475,000","35,166",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a0aaf87ee84bee5366a1c2e1129f622d-223221.jpeg
Land For Sale In Wattala,"Land Size :
10
                                                Perches","Location :

Gampaha .
                                            Wattala
                                                                                            
                                                     |  Land","4,500,000","63,937",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/fc27fa5e6caaf913ae82c8c78ab34510-393950.jpeg
Land For Sale In Monaragala,"Land Size :
10
                                                Perches","Location :

Monaragala .
                                            Monaragala
                                                                                            
                                                     |  Land","27,000,000","383,624",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/1762021633fe41014ead765a79094052-523292.jpeg
Land For Sale In Ganemulla,"Land Size :
12.5
                                                Perches","Location :

Gampaha .
                                            Ganemulla
                                                                                            
                                                     |  Land","12,300,000","174,762",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/65dea977e823b0c2fc9f2e062c26c7bd-515663.jpeg
House For Sale In Jayanthipura,"Features :
Beds-3 ,
                                                    Baths-2 ,
                                                        Size-2000 sqft","Location :

Polonnaruwa .
                                                Jayanthipura","6,500,000","92,354",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
Land With House For Sale In Biyagama,"Land Size :
25
                                                    Perches","Location :

Gampaha .
                                                Biyagama",,,https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
Annex For Rent In Katunayake,"Features :
Beds-1 ,
                                                Baths-1","Location :

Gampaha .
                                            Katunayake(FTZ)
                                                                                            
                                                     |  Annexes And Rooms",,"15,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/182b7087c10543e5647ff3de7d53ef6b-411198.jpeg
Room For Rent In Malabe,"Features :
Beds-1 ,
                                                Baths-1","Location :

Colombo .
                                            Malabe
                                                                                            
                                                     |  Annexes And Rooms",,"18,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a706506996d600e16e72a35f5554e9a2-205617.jpeg
Annex For Rent In Boralesgamuwa,"Features :
Beds-1 ,
                                                Baths-1","Location :

Colombo .
                                            Boralesgamuwa
                                                                                            
                                                     |  Annexes And Rooms",,"35,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/f882d190c949373275fcfaa3b609d73b-899266.jpeg
Land For Sale In Kadawatha,"Land Size :
10
                                                Perches","Location :

Gampaha .
                                            Kadawatha
                                                                                            
                                                     |  Land","8,500,000","120,771",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ce4b7b4667a2b32391a555e056381b8b1312156_4.jpeg
House For Sale In Maharagama,"Features :
Beds-3 ,
                                                Baths-2 ,
                                                    Size- sqft","Location :

Colombo .
                                            Maharagama
                                                                                            
                                                     |  House","59,500,000","845,394",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/5a164ef64274767748101037b8c3e069-782557.jpeg
House For Rent In Kadawatha,"Features :
Beds-2 ,
                                                Baths-1 ,
                                                    Size-900 sqft","Location :

Gampaha .
                                            Kadawatha
                                                                                            
                                                     |  House",,"22,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/f2e84d234359c38cf47867d9d589c2ac-909082.jpeg
House For Rent In Katugastota,"Features :
Beds-3 ,
                                                Baths-2 ,
                                                    Size-1800 sqft","Location :

Kandy .
                                            Katugastota
                                                                                            
                                                     |  House",,"40,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ac87f1a876129825d4f18060fa9f4276-157290.jpeg
