Title,Land Size,Location,Total Price,Monthly Payment,Image URL
House For Sale In Kandy,"Features :
Beds-3 ,
                                                Baths-2 ,
                                                    Size-1500 sqft","Location :

Kandy .
                                            Kandy
                                                                                            
                                                     |  House","39,000,000","554,124",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/57b9ffb8ac5a4e7fba27061d16e52624-394344.jpeg
Land For Sale In Panadura,"Land Size :
6
                                                Perches","Location :

Kalutara .
                                            Panadura
                                                                                            
                                                     |  Land",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ef7da95a0bc1c32e4709e1eb8240bbe2-387475.jpeg
Apartment For Sale In Colombo 02,"Features :
Beds-2 ,
                                                Baths-2 ,
                                                    Size-756 sqft","Location :

Colombo .
                                            Colombo 02
                                                                                            
                                                     |  Apartments",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/623dc247ecbe64348b8d0a4e62606102-725324.jpeg
House For Sale In Kandy,"Features :
Beds-3 ,
                                                Baths-1 ,
                                                    Size-1800 sqft","Location :

Kandy .
                                            Kandy
                                                                                            
                                                     |  House","27,000,000","383,624",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/7a685ba647072cc497a6ad322571ff96-920343.jpeg
Apartment For Sale In Colombo 05,"Features :
Beds-3 ,
                                                Baths-2 ,
                                                    Size-1740 sqft","Location :

Colombo .
                                            Colombo 05
                                                                                            
                                                     |  Apartments",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/30750f0d56c971cccea77aa9259c8ab3-195315.jpeg
House For Sale In Panadura,"Features :
Beds-3 ,
                                                Baths-2 ,
                                                    Size-2000 sqft","Location :

Kalutara .
                                            Panadura
                                                                                            
                                                     |  House","12,000,000","170,500",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/72ce4cbb1a254a41864dd2512cc90a84-692386.jpeg
House For Sale In Kesbewa,"Features :
Beds-1 ,
                                                Baths-1 ,
                                                    Size-2200 sqft","Location :

Colombo .
                                            Kesbewa
                                                                                            
                                                     |  House","27,500,000","390,728",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/fc6450ffb5dee4bfabca54b02f594d29-275696.jpeg
House For Sale In Nugegoda,"Features :
Beds-4 ,
                                                Baths-4 ,
                                                    Size-3300 sqft","Location :

Colombo .
                                            Nugegoda
                                                                                            
                                                     |  House","100,000,000","1,420,830",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/774eca26c59f6c85fdec97d39a1f280d-388687.jpeg
Annex For Rent In Moratuwa,"Features :
Beds-2 ,
                                                Baths-1","Location :

Colombo .
                                            Moratuwa
                                                                                            
                                                     |  Annexes And Rooms",,"10,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/484e4df3ef24495d07c632f5bfa454a6-628911.jpeg
Land For Sale In Ja-Ela,"Land Size :
11
                                                Perches","Location :

Gampaha .
                                            Ja-Ela
                                                                                            
                                                     |  Land","10,450,000","148,477",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/f38ee2e52036828745de1c60c0c8814d-573742.jpeg
Land For Sale In Homagama,"Land Size :
9.8
                                                Perches","Location :

Colombo .
                                            Homagama
                                                                                            
                                                     |  Land","5,782,000","82,152",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/04a86a14d1b2e76e83a6bf87998ee52b-388502.jpeg
House For Sale In Piliyandala,"Features :
Beds-5 ,
                                                Baths-4 ,
                                                    Size-2460 sqft","Location :

Colombo .
                                            Piliyandala
                                                                                            
                                                     |  House","48,000,000","681,998",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ddbbaa5b7fbf067a8f00ca6f984e7859-140775.jpeg
House For Sale In Gonapola Junction,"Features :
Beds-2 ,
                                                Baths-1 ,
                                                    Size-1000 sqft","Location :

Kalutara .
                                            Gonapola Junction
                                                                                            
                                                     |  House",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e409b173b170e180f57e724100db6bce1307067_1.jpeg
Land For Sale In Wewaldeniya,"Land Size :
2240
                                                Perches","Location :

Gampaha .
                                            Weweldeniya
                                                                                            
                                                     |  Land","672,000,000","9,547,975",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e7143c15b85e135eaa6032fe20919164-794614.jpeg
House With Land For Sale In Gampola,"Features :
Beds-5 ,
                                                Baths-1 ,
                                                    Size-2244 sqft","Location :

Kandy .
                                            Gampola
                                                                                            
                                                     |  House","17,500,000","248,645",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/954f5579ea1c27927c913059956f9d66-524658.jpeg
Land For Sale In Gamagoda,"Land Size :
10
                                                    Perches","Location :

Kalutara .
                                                Gamagoda","1,700,000","24,154",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
Land For Sale In Bandaragama,"Land Size :
60
                                                    Perches","Location :

Kalutara .
                                                Bandaragama","13,500,000","191,812",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
Land For Sale In Matara,"Land Size :
150
                                                Perches","Location :

Matara .
                                            Matara
                                                                                            
                                                     |  Land",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/11407d551dae6c1ddfb6fd46efd8df74-742286.jpeg
House For Sale In Piliyandala,"Features :
Beds-4 ,
                                                Baths-3 ,
                                                    Size-3000 sqft","Location :

Colombo .
                                            Piliyandala
                                                                                            
                                                     |  House","42,000,000","596,748",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/22914318d05c4cec917c33ff5c3158d1-250209.jpeg
House For Sale In Kottawa,"Features :
Beds-5 ,
                                                Baths-3 ,
                                                    Size-3300 sqft","Location :

Colombo .
                                            Kottawa
                                                                                            
                                                     |  House","36,000,000","511,499",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/463a3b3b4fa96cbecd094d7035fbefe9-516361.jpeg
House For Sale In Kelaniya,"Features :
Beds-5 ,
                                                Baths-6 ,
                                                    Size-4700 sqft","Location :

Gampaha .
                                            Kelaniya
                                                                                            
                                                     |  House","69,500,000","987,477",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a38371d56a0f8c7f2120364b91995a45-849562.jpeg
House For Sale In Mirigama,"Features :
Beds-2 ,
                                                Baths-1 ,
                                                    Size- sqft","Location :

Gampaha .
                                            Mirigama
                                                                                            
                                                     |  House","3,500,000","49,729",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/0defc488ab3e5ad405f6a3ad8bc8ce77-981756.jpeg
Holiday Bungalow For Sale In Piliyandala,"Features :
Beds-4 ,
                                                Baths-3","Location :

Colombo .
                                            Piliyandala
                                                                                            
                                                     |  Featured Projects","42,000,000","596,748",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/d7990b7543dd6637645114148569c5d6-558457.jpeg
House For Sale In Kirindiwela,"Features :
Beds-4 ,
                                                Baths-2 ,
                                                    Size- sqft","Location :

Gampaha .
                                            Kirindiwela
                                                                                            
                                                     |  House","13,000,000","184,708",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e3e396b782858b66873fbcf035bbcb3f-794630.jpeg
Land For Sale In Meegoda,"Land Size :
10
                                                Perches","Location :

Colombo .
                                            Meegoda
                                                                                            
                                                     |  Land","3,500,000","49,729",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a814404bd422a20f11df977de54d92e0-209322.jpeg
Land For Sale In Kosgama,"Land Size :
10
                                                Perches","Location :

Colombo .
                                            Kosgama
                                                                                            
                                                     |  Land","2,500,000","35,521",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/29c80098ff501a4666db4076b8068f2d-782726.jpeg
Holiday Bungalow For Rent In Ampitiya,"Features :
Beds-3 ,
                                                Baths-2","Location :

Kandy .
                                            Ampitiya
                                                                                            
                                                     |  Featured Projects",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/22b9c53048263ba8b51c05c741033e52-608014.jpeg
Land For Sale In Panadura,"Land Size :
6
                                                Perches","Location :

Kalutara .
                                            Panadura
                                                                                            
                                                     |  Land","4,050,000","57,544",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/18e4af060e4bc2876d26a9fef66cf8d9-153256.jpeg
Land For Sale In Piliyandala,"Land Size :
6
                                                Perches","Location :

Colombo .
                                            Piliyandala
                                                                                            
                                                     |  Land","3,450,000","49,019",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/bae23c5cdcf260fd8efb2ea7469aca7e-172149.jpeg
Land For Sale In Athurugiriya,"Land Size :
6.2
                                                Perches","Location :

Colombo .
                                            Athurugiriya
                                                                                            
                                                     |  Land","4,340,000","61,664",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/1ac5d4385c6cee34702c051451dd3e77-716866.jpeg
Land For Sale In Athurugiriya,"Land Size :
6.2
                                                Perches","Location :

Colombo .
                                            Athurugiriya
                                                                                            
                                                     |  Land","4,340,000","61,664",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/992ad0be8d5318440373f31611733921-827637.jpeg
House For Sale In Divulapitiya,"Features :
Beds-3 ,
                                                Baths-1 ,
                                                    Size-2100 sqft","Location :

Gampaha .
                                            Divulapitiya
                                                                                            
                                                     |  House","18,500,000","262,853",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ef822c7e86e6735c7a26138e8cd55e78-147204.jpeg
House For Sale In Veyangoda,"Features :
Beds-3 ,
                                                Baths-2 ,
                                                    Size-2100 sqft","Location :

Gampaha .
                                            Veyangoda
                                                                                            
                                                     |  House","9,500,000","134,979",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/c8284513a1e24df7daa30c5045d3a370-346788.jpeg
House For Sale In Kandy,"Features :
Beds-2 ,
                                                Baths-1 ,
                                                    Size-1800 sqft","Location :

Kandy .
                                            Kandy
                                                                                            
                                                     |  House","7,500,000","106,562",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/2b8882d37ee97ff361bb39e8f057ebf1-421724.jpeg
Land For Sale In Dunagaha,"Land Size :
15.7
                                                Perches","Location :

Gampaha .
                                            Dunagaha
                                                                                            
                                                     |  Land","3,500,000","49,729",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/13a14113bdf789a93004adec01f700ef-941069.jpeg
Land For Sale In Katana,"Land Size :
10
                                                Perches","Location :

Gampaha .
                                            Katana
                                                                                            
                                                     |  Land","3,500,000","49,729",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/29015a05a43981716c61310ce415962e-642612.jpeg
House For Sale In Ja-Ela,"Features :
Beds-3 ,
                                                Baths-1 ,
                                                    Size-1950 sqft","Location :

Gampaha .
                                            Ja-Ela
                                                                                            
                                                     |  House","16,500,000","234,437",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/8915e99d8d5fc8e64acca5fb696b3b8f-239903.jpeg
House For Sale In Bopitiya,"Features :
Beds-3 ,
                                                    Baths-2 ,
                                                        Size-1500 sqft","Location :

Gampaha .
                                                Bopitiya","17,500,000","248,645",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
Apartment For Sale In Rajagiriya,"Features :
Beds-2 ,
                                                    Baths-2 ,
                                                        Size-887 sqft","Location :

Colombo .
                                                Rajagiriya","35,000,000","497,290",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
Land For Sale In Kurunegala,"Land Size :
253
                                                Perches","Location :

Kurunegala .
                                            Kurunegala
                                                                                            
                                                     |  Land","88,550,000","1,258,145",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/20fb76e35d992cd7fbf3f9af59f7e05e-919470.jpeg
House For Sale In Kundasale,"Features :
Beds-3 ,
                                                Baths-3 ,
                                                    Size-2700 sqft","Location :

Kandy .
                                            Kundasale
                                                                                            
                                                     |  House","45,000,000","639,373",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/d10183aeb8ca90440054eb209cc9bd8e-691490.jpeg
House For Sale In Mirigama,"Features :
Beds-3 ,
                                                Baths-2 ,
                                                    Size-2200 sqft","Location :

Gampaha .
                                            Mirigama
                                                                                            
                                                     |  House","50,000,000","710,415",https://www.patpat.lk/resources/images/ad-types/icon-new-quicksell.svg
Land For Sale In Kalagedihena,"Land Size :
18
                                                Perches","Location :

Gampaha .
                                            Kalagedihena
                                                                                            
                                                     |  Land","4,000,000","63,937",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/2e7ca2ec7a58255fee12bd32ec4063581258455_5.jpeg
Land For Sale In Athurugiriya,"Land Size :
6.72
                                                Perches","Location :

Colombo .
                                            Athurugiriya
                                                                                            
                                                     |  Land","4,636,800","65,881",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/bfc8fff6f983a26a55e7d99ea7f686fe-616370.jpeg
House For Sale In Athurugiriya,"Features :
Beds-2 ,
                                                Baths-1 ,
                                                    Size-1769 sqft","Location :

Colombo .
                                            Athurugiriya
                                                                                            
                                                     |  House","33,000,000","468,874",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e906361f289974f5cd23d9fc3bc82115-717441.jpeg
House For Sale In Kottawa,"Features :
Beds-5 ,
                                                Baths-2 ,
                                                    Size-2300 sqft","Location :

Colombo .
                                            Kottawa
                                                                                            
                                                     |  House","29,500,000","419,145",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/c4522f89515454ac925fe876db6cae7e-709013.jpeg
Land For Sale In Piliyandala,"Land Size :
6
                                                Perches","Location :

Colombo .
                                            Piliyandala
                                                                                            
                                                     |  Land","3,450,000","49,019",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/640546df235fa0bb4b2e913c101b1533-481379.jpeg
Land For Sale In Athurugiriya,"Land Size :
6.2
                                                Perches","Location :

Colombo .
                                            Athurugiriya
                                                                                            
                                                     |  Land","4,340,000","61,664",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/13f1df2adec3067d7fe8ae9759acc095-677774.jpeg
House For Sale In Hunnadeniya,"Features :
Beds-4 ,
                                                Baths-2 ,
                                                    Size-2000 sqft","Location :

Matara .
                                            Matara
                                                                                            
                                                     |  House",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a04aac06df442b0d1bf6eb47a07a4520-936687.jpeg
House For Sale In Kurunegala,"Features :
Beds-5 ,
                                                Baths-2 ,
                                                    Size- sqft","Location :

Kurunegala .
                                            Kurunegala
                                                                                            
                                                     |  House","7,500,000","106,562",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ace68570ad6d19c4e4b6b572a12bcdbc-810982.jpeg
House For Sale In Kurunegala,"Features :
Beds-5 ,
                                                Baths-2 ,
                                                    Size- sqft","Location :

Kurunegala .
                                            Kurunegala
                                                                                            
                                                     |  House","34,000,000","483,082",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/3383d0ce2e237c441efcb66de48014b3-783460.jpeg
Land For Sale In Veyangoda,"Land Size :
16
                                                Perches","Location :

Gampaha .
                                            Veyangoda
                                                                                            
                                                     |  Land","5,120,000","72,746",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e6a781f43562a2c4c11df38d15c1ffab-188181.jpeg
House For Sale In Gothatuwa,"Features :
Beds-7 ,
                                                Baths-3 ,
                                                    Size-2460 sqft","Location :

Colombo .
                                            Gothatuwa
                                                                                            
                                                     |  House","35,000,000","497,290",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/28fa095994e731e86f852e5e5563900f-836434.jpeg
House For Rent In Kadawatha,"Features :
Beds-4 ,
                                                Baths-2 ,
                                                    Size-2000 sqft","Location :

Gampaha .
                                            Kadawatha
                                                                                            
                                                     |  House",,"70,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/4f6059d590d41e4c331d6788df69d54c1308974_5.jpeg
Land For Sale In Athurugiriya,"Land Size :
6.2
                                                Perches","Location :

Colombo .
                                            Athurugiriya
                                                                                            
                                                     |  Land","4,340,000","61,664",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/4dc96e23abefc4dd7c0a6ae80820829d-739641.jpeg
Land For Sale In Horana,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Horana
                                                                                            
                                                     |  Land","1,800,000","25,575",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a23e8a34bf8ad37efbd8a97713185e3c-379092.jpeg
Land For Sale In Matugama,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Matugama
                                                                                            
                                                     |  Land","5,500,000","78,146",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/d7610ffe1b266c86343044522ff8d9f6-946647.jpeg
Land For Sale In Beruwala,"Land Size :
12.5
                                                Perches","Location :

Kalutara .
                                            Beruwala
                                                                                            
                                                     |  Land","1,250,000","17,760",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/aa176ed56a5a44da8be7fa7c6ec4512d-617835.jpeg
Land For Sale In Nittambuwa,"Land Size :
10
                                                Perches","Location :

Gampaha .
                                            Nittambuwa
                                                                                            
                                                     |  Land","2,700,000","38,362",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/c807fa44052f1fa91f7f4bcf744ae077-697622.jpeg
House For Sale In Ratmalana,"Features :
Beds-12 ,
                                                    Baths-4 ,
                                                        Size-1600 sqft","Location :

Colombo .
                                                Ratmalana","100,000,000","1,420,830",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
Land With House For Sale In Weligama,"Land Size :
60
                                                    Perches","Location :

Matara .
                                                Weligama","46,500,000","660,686",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
Land For Sale In Kirindiwela,"Land Size :
10
                                                Perches","Location :

Gampaha .
                                            Kirindiwela
                                                                                            
                                                     |  Land","2,700,000","38,362",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/2f43a29ca7be8bf89ddddec12c2180bd-779014.jpeg
Land For Sale In Alutgama,"Land Size :
12.5
                                                Perches","Location :

Kalutara .
                                            Alutgama
                                                                                            
                                                     |  Land","1,250,000","17,760",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/51104d694293efa1cca59c576d6c3b07-360892.jpeg
Land For Sale In Yatadolawatta,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Yatadolawatta
                                                                                            
                                                     |  Land","5,500,000","78,146",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/a5b009d232ea890ecfa09480c903c1e8-922872.jpeg
House For Rent In Habaraduwa,"Features :
Beds-3 ,
                                                Baths-1 ,
                                                    Size-1500 sqft","Location :

Galle .
                                            Habaraduwa
                                                                                            
                                                     |  House",,"25,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/e572f8f2fb407f72a73ddbc472350a75-252976.jpeg
Land For Sale In Kamburugamuwa,"Land Size :
20
                                                Perches","Location :

Matara .
                                            Kamburugamuwa
                                                                                            
                                                     |  Land",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/3956d03bf2094c733daae4f246798e98-509155.jpeg
House For Sale In Bopitiya,"Features :
Beds-3 ,
                                                Baths-2 ,
                                                    Size-1500 sqft","Location :

Gampaha .
                                            Bopitiya
                                                                                            
                                                     |  House","17,500,000","248,645",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/73bda5ee131e49870e6f737f3b92de6e-571496.jpeg
Land For Sale In Horana,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Horana
                                                                                            
                                                     |  Land","1,800,000","25,575",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/1b5b7bbf75ec44514fac5bf8791adabf-460974.jpeg
House For Sale In Kiribathgoda,"Features :
Beds-5 ,
                                                Baths-3 ,
                                                    Size-4200 sqft","Location :

Gampaha .
                                            Kiribathgoda
                                                                                            
                                                     |  House","60,000,000","852,498",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/9a190a822c29253ba7416b063eb9bd02-678030.jpeg
House With Land For Sale In Mihintale,"Features :
Beds-2 ,
                                                Baths-1 ,
                                                    Size-2000 sqft","Location :

Anuradhapura .
                                            Mihintale
                                                                                            
                                                     |  House","2,650,000","37,652",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/4c64da09161a3d3226182d443cc7934c-189818.jpeg
Factory For Sale In Piliyandala,"Area :
4000 sqft","Location :

Colombo .
                                            Piliyandala
                                                                                            
                                                     |  Commercial Buildings","37,000,000","525,707",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/8d072a415def48233ab362501aca533f-669650.jpeg
Land For Sale In Piliyandala,"Land Size :
6
                                                Perches","Location :

Colombo .
                                            Piliyandala
                                                                                            
                                                     |  Land","3,450,000","49,019",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/79e16c4a2288672c22138a85d1487801-712357.jpeg
Land For Sale In Panadura,"Land Size :
6
                                                Perches","Location :

Kalutara .
                                            Panadura
                                                                                            
                                                     |  Land","4,050,000","57,544",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/212b3ed26888a52f8f2e54635af3783b-509454.jpeg
Land For Sale In Yatiyana,"Land Size :
4
                                                Acres","Location :

Matara .
                                            Yatiyana
                                                                                            
                                                     |  Land","16,000,000","227,333",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ea57bdcac571be3afafc7da292c5b301-256901.jpeg
Land For Sale In Kapuduwa,"Land Size :
80
                                                Perches","Location :

Matara .
                                            Matara
                                                                                            
                                                     |  Land","4,800,000","68,200",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/fb582cf1fbd23521072273642e5ecbc5-540667.jpeg
House For Sale In Kundasale,"Features :
Beds-4 ,
                                                Baths-3 ,
                                                    Size- sqft","Location :

Kandy .
                                            Kundasale
                                                                                            
                                                     |  House","46,900,000","666,369",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/9e0cbaa8a6fda778756ba8d4df2b1279-581302.jpeg
House For Sale In Kandy,"Features :
Beds-5 ,
                                                Baths-2 ,
                                                    Size- sqft","Location :

Kandy .
                                            Kandy
                                                                                            
                                                     |  House","45,000,000","639,373",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/34be796f88a11a3f16db34392ad210ae-855856.jpeg
House For Sale In Kandy,"Features :
Beds-2 ,
                                                Baths-1 ,
                                                    Size- sqft","Location :

Kandy .
                                            Kandy
                                                                                            
                                                     |  House","7,800,000","110,825",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/c82d9281a42e6e66cd247c290e49ea99-339206.jpeg
Land For Sale In Ruwanwella,"Land Size :
4
                                                Acres","Location :

Kegalle .
                                            Ruwanwella
                                                                                            
                                                     |  Land","25,000,000","355,207",https://www.patpat.lk/resources/images/ad-types/icon-new-quicksell.svg
Hotel For Sale In Hatton,"Area :
25024 sqft","Location :

Nuwaraeliya .
                                            Hatton
                                                                                            
                                                     |  Commercial Buildings",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/25a9fd63684471db70cacad7db76d14d-643345.jpeg
House For Sale In Gampola,"Features :
Beds-4 ,
                                                Baths-2 ,
                                                    Size-4000 sqft","Location :

Kandy .
                                            Gampola
                                                                                            
                                                     |  House","8,000,000","113,666",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/858aa0089bb6ec247317675a5b006af0-782824.jpeg
Land For Sale In Kamburugamuwa,"Land Size :
20
                                                    Perches","Location :

Matara .
                                                Kamburugamuwa",,,https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
Land With House For Sale In Weligama,"Land Size :
60
                                                    Perches","Location :

Matara .
                                                Weligama","46,500,000","660,686",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
Commercial Building For Sale In Gampola,"Area :
1600 sqft","Location :

Kandy .
                                            Gampola
                                                                                            
                                                     |  Commercial Buildings","70,000,000","994,581",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/52412059464d27bea6ca4d61983c2295-314705.jpeg
Land For Sale In Mawilmada,"Land Size :
13
                                                Perches","Location :

Kandy .
                                            Mawilmada
                                                                                            
                                                     |  Land","36,400,000","517,182",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/8463dcc0ea55d4c949d339f62c457004-257533.jpeg
Land For Sale In Kiribathkubura,"Land Size :
13
                                                Perches","Location :

Kandy .
                                            Kiribathkumbura
                                                                                            
                                                     |  Land","13,000,000","184,708",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/20dab6edb02a71ce50c88aa1db0fcdef-144253.jpeg
Land For Sale In Bandaragama,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Bandaragama
                                                                                            
                                                     |  Land","4,000,000","56,833",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/93501e6b484ab99ca524c361eb3fded6-886737.jpeg
Land For Sale In Haragama,"Land Size :
17.5
                                                Perches","Location :

Kandy .
                                            Haragama
                                                                                            
                                                     |  Land","10,062,500","142,971",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/3b10982f0b18d2155bc700436b406559-167844.jpeg
Land For Sale In Kandy,"Land Size :
35
                                                Perches","Location :

Kandy .
                                            Kandy
                                                                                            
                                                     |  Land","98,000,000","1,392,413",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/b98f62dcbb76e59bd71c1e0bfb83155a-798248.jpeg
Land For Sale In Athurugiriya,"Land Size :
6.2
                                                Perches","Location :

Colombo .
                                            Athurugiriya
                                                                                            
                                                     |  Land","4,340,000","61,664",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ee2b30c246bd1e0e860a1345caa73526-306981.jpeg
Land For Sale In Kaduwela,"Land Size :
7.4
                                                Perches","Location :

Colombo .
                                            Kaduwela
                                                                                            
                                                     |  Land","4,070,000","57,828",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/5c4597fc2e3ccc265f9f49a1fb9772e0-827063.jpeg
Land For Sale In Panadura,"Land Size :
6.2
                                                Perches","Location :

Kalutara .
                                            Panadura
                                                                                            
                                                     |  Land","4,185,000","59,462",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/846c4010f152bd0b83d2d9c1f5ffdc5b-865219.jpeg
Land For Sale In Bandaragama,"Land Size :
10
                                                Perches","Location :

Kalutara .
                                            Bandaragama
                                                                                            
                                                     |  Land","4,000,000","56,833",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/c50508c8d5274be56820c36480d7bc2b-922032.jpeg
Land For Sale In Homagama,"Land Size :
6
                                                Perches","Location :

Colombo .
                                            Homagama
                                                                                            
                                                     |  Land","4,050,000","57,544",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/3e28e55b47b472adbcc16b976d982a79-574295.jpeg
Land For Sale In Kadawatha,"Land Size :
6
                                                Perches","Location :

Gampaha .
                                            Kadawatha
                                                                                            
                                                     |  Land","10,200,000","144,925",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/27951ace3ee6a8f9109c592e27ed502a-282673.jpeg
Land For Sale In Biyagama,"Land Size :
10
                                                Perches","Location :

Gampaha .
                                            Biyagama
                                                                                            
                                                     |  Land","3,500,000","49,729",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/0b44f91f724cf64ebed9e1b07d30770c-215952.jpeg
Land For Sale In Panadura,"Land Size :
6
                                                Perches","Location :

Kalutara .
                                            Panadura
                                                                                            
                                                     |  Land","4,050,000","57,544",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/0216d7bafe94d6a052a51995546b85e2-223101.jpeg
